Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total
PC_PC_TNP103-tumor	0	1	33	3	0	0	0	37
PC_PC_TNP091-tumor	4	1	14	2	0	0	0	21
PC_PC_TNP055-tumor	2	2	12	1	0	1	0	18
PC_PC_TNP130-tumor	0	0	17	1	0	0	0	18
PC_PC_TNP147-tumor	0	0	16	1	0	1	0	18
PC_PC_TNP104-tumor	1	0	14	1	0	0	0	16
PC_PC_TNP146-tumor	1	0	14	0	0	1	0	16
PC_PC_TNP043-tumor	0	0	14	1	0	0	0	15
PC_PC_TNP082-tumor	2	0	10	1	0	1	1	15
PC_PC_TNP145-tumor	1	0	13	0	0	1	0	15
PC_PC_TNP085-tumor	0	0	14	0	0	0	0	14
PC_PC_TNP136-tumor	2	0	10	1	1	0	0	14
PC_PC_TNP148-tumor	0	0	14	0	0	0	0	14
PC_PC_TNP087-tumor	1	0	9	2	0	1	0	13
PC_PC_TNP098-tumor	0	1	10	2	0	0	0	13
PC_PC_TNP054-tumor	2	0	9	1	0	0	0	12
PC_PC_TNP070-tumor	0	2	10	0	0	0	0	12
PC_PC_TNP120-tumor	0	1	11	0	0	0	0	12
PC_PC_TNP121-tumor	1	3	8	0	0	0	0	12
PC_PC_TNP150-tumor	1	0	11	0	0	0	0	12
PC_PC_TNP044-tumor	0	0	11	0	0	0	0	11
PC_PC_TNP052-tumor	0	1	9	0	0	1	0	11
PC_PC_TNP084-tumor	0	1	8	2	0	0	0	11
PC_PC_TNP097-tumor	0	2	8	1	0	0	0	11
PC_PC_TNP108-tumor	0	0	11	0	0	0	0	11
PC_PC_TNP110-tumor	0	0	11	0	0	0	0	11
PC_PC_TNP127-tumor	0	2	9	0	0	0	0	11
PC_PC_TNP135-tumor	0	0	11	0	0	0	0	11
PC_PC_TNP066-tumor	0	1	9	0	0	0	0	10
PC_PC_TNP072-tumor	0	0	9	0	0	1	0	10
PC_PC_TNP074-tumor	0	0	10	0	0	0	0	10
PC_PC_TNP093-tumor	0	0	9	0	1	0	0	10
PC_PC_TNP112-tumor	0	2	8	0	0	0	0	10
PC_PC_TNP152-tumor	1	1	8	0	0	0	0	10
PC_PC_TNP058-tumor	0	0	9	0	0	0	0	9
PC_PC_TNP064-tumor	0	3	6	0	0	0	0	9
PC_PC_TNP079-tumor	0	1	7	0	0	1	0	9
PC_PC_TNP090-tumor	0	0	9	0	0	0	0	9
PC_PC_TNP111-tumor	1	0	8	0	0	0	0	9
PC_PC_TNP132-tumor	0	2	7	0	0	0	0	9
PC_PC_TNP138-tumor	0	0	7	1	0	1	0	9
PC_PC_TNP139-tumor	1	0	8	0	0	0	0	9
PC_PC_TNP046-tumor	0	1	6	0	0	1	0	8
PC_PC_TNP078-tumor	0	0	8	0	0	0	0	8
PC_PC_TNP081-tumor	0	0	8	0	0	0	0	8
PC_PC_TNP094-tumor	0	2	6	0	0	0	0	8
PC_PC_TNP095-tumor	0	0	8	0	0	0	0	8
PC_PC_TNP038-tumor	0	0	7	0	0	0	0	7
PC_PC_TNP045-tumor	1	0	6	0	0	0	0	7
PC_PC_TNP057-tumor	0	0	7	0	0	0	0	7
PC_PC_TNP059-tumor	0	0	5	2	0	0	0	7
PC_PC_TNP071-tumor	0	0	5	2	0	0	0	7
PC_PC_TNP073-tumor	1	1	5	0	0	0	0	7
PC_PC_TNP086-tumor	0	0	7	0	0	0	0	7
PC_PC_TNP125-tumor	1	0	4	0	0	2	0	7
PC_PC_TNP126-tumor	0	1	6	0	0	0	0	7
PC_PC_TNP142-tumor	0	0	6	1	0	0	0	7
PC_PC_TNP062-tumor	0	0	6	0	0	0	0	6
PC_PC_TNP075-tumor	0	0	6	0	0	0	0	6
PC_PC_TNP109-tumor	1	0	5	0	0	0	0	6
PC_PC_TNP113-tumor	0	0	5	0	0	1	0	6
PC_PC_TNP114-tumor	1	0	5	0	0	0	0	6
PC_PC_TNP117-tumor	0	0	6	0	0	0	0	6
PC_PC_TNP129-tumor	0	1	5	0	0	0	0	6
PC_PC_TNP035-tumor	0	0	5	0	0	0	0	5
PC_PC_TNP041-tumor	0	0	5	0	0	0	0	5
PC_PC_TNP050-tumor	0	1	3	1	0	0	0	5
PC_PC_TNP083-tumor	1	0	3	0	0	1	0	5
PC_PC_TNP089-tumor	0	0	3	1	0	1	0	5
PC_PC_TNP096-tumor	1	0	4	0	0	0	0	5
PC_PC_TNP105-tumor	0	0	5	0	0	0	0	5
PC_PC_TNP106-tumor	0	1	4	0	0	0	0	5
PC_PC_TNP107-tumor	0	0	5	0	0	0	0	5
PC_PC_TNP115-tumor	0	0	5	0	0	0	0	5
PC_PC_TNP119-tumor	0	1	4	0	0	0	0	5
PC_PC_TNP123-tumor	0	1	4	0	0	0	0	5
PC_PC_TNP141-tumor	0	0	5	0	0	0	0	5
PC_PC_TNP042-tumor	0	0	3	0	0	1	0	4
PC_PC_TNP047-tumor	0	0	4	0	0	0	0	4
PC_PC_TNP076-tumor	0	0	4	0	0	0	0	4
PC_PC_TNP077-tumor	0	0	3	1	0	0	0	4
PC_PC_TNP080-tumor	0	0	3	1	0	0	0	4
PC_PC_TNP100-tumor	0	0	2	1	0	0	1	4
PC_PC_TNP131-tumor	1	0	3	0	0	0	0	4
PC_PC_TNP037-tumor	0	0	2	1	0	0	0	3
PC_PC_TNP040-tumor	0	0	2	1	0	0	0	3
PC_PC_TNP053-tumor	0	0	3	0	0	0	0	3
PC_PC_TNP061-tumor	0	0	3	0	0	0	0	3
PC_PC_TNP069-tumor	0	0	3	0	0	0	0	3
PC_PC_TNP088-tumor	0	0	3	0	0	0	0	3
PC_PC_TNP092-tumor	0	0	2	1	0	0	0	3
PC_PC_TNP102-tumor	0	0	3	0	0	0	0	3
PC_PC_TNP133-tumor	0	0	3	0	0	0	0	3
PC_PC_TNP039-tumor	0	0	1	1	0	0	0	2
PC_PC_TNP049-tumor	1	0	0	0	0	1	0	2
PC_PC_TNP051-tumor	0	0	2	0	0	0	0	2
PC_PC_TNP065-tumor	0	0	1	1	0	0	0	2
PC_PC_TNP068-tumor	0	0	2	0	0	0	0	2
PC_PC_TNP101-tumor	0	0	2	0	0	0	0	2
PC_PC_TNP122-tumor	0	0	2	0	0	0	0	2
PC_PC_TNP134-tumor	1	0	1	0	0	0	0	2
PC_PC_TNP140-tumor	0	0	2	0	0	0	0	2
PC_PC_TNP056-tumor	0	0	1	0	0	0	0	1
PC_PC_TNP063-tumor	0	0	1	0	0	0	0	1
PC_PC_TNP116-tumor	1	0	0	0	0	0	0	1
