Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total
PC_PC_TNP043-tumor	5	2	14	1	1	23
PC_PC_TNP138-tumor	5	0	7	2	3	17
PC_PC_TNP046-tumor	8	2	4	0	1	15
PC_PC_TNP052-tumor	5	4	5	0	1	15
PC_PC_TNP035-tumor	4	2	7	1	0	14
PC_PC_TNP045-tumor	4	4	6	0	0	14
PC_PC_TNP054-tumor	3	4	7	0	0	14
PC_PC_TNP152-tumor	4	2	7	0	0	13
PC_PC_TNP125-tumor	2	3	5	0	2	12
PC_PC_TNP139-tumor	4	1	6	0	0	11
PC_PC_TNP041-tumor	1	0	7	0	0	8
PC_PC_TNP038-tumor	0	1	5	0	1	7
PC_PC_TNP044-tumor	0	0	7	0	0	7
PC_PC_TNP048-tumor	2	3	2	0	0	7
PC_PC_TNP040-tumor	1	0	2	1	1	5
PC_PC_TNP042-tumor	0	1	3	0	1	5
PC_PC_TNP047-tumor	1	0	4	0	0	5
PC_PC_TNP053-tumor	1	1	3	0	0	5
PC_PC_TNP126-tumor	0	1	4	0	0	5
PC_PC_TNP039-tumor	0	0	3	1	0	4
PC_PC_TNP049-tumor	2	1	0	0	1	4
PC_PC_TNP051-tumor	0	1	3	0	0	4
PC_PC_TNP037-tumor	0	0	2	1	0	3
PC_PC_TNP050-tumor	0	1	1	0	0	2
